YearStart,YearEnd,LocationAbbr,Topic,Question,DataValue,DataValueUnit,DataValueType,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1
2020,2020,FL,Chronic Kidney Disease,Mortality with end-stage renal disease,10920.0,,Number,,,,Race/Ethnicity,"White, non-Hispanic"
2020,2020,ID,Chronic Kidney Disease,Mortality with end-stage renal disease,110.8,"cases per 100,000",Crude Rate,,71.7,163.5,Race/Ethnicity,American Indian or Alaska Native
2017,2017,IN,Chronic Kidney Disease,Mortality with end-stage renal disease,3073.0,,Number,,,,Gender,Female
2013,2013,LA,Chronic Kidney Disease,Mortality with end-stage renal disease,1701.0,,Number,,,,Race/Ethnicity,"White, non-Hispanic"
2018,2018,AL,Chronic Kidney Disease,Mortality with end-stage renal disease,74.2,"cases per 100,000",Age-adjusted Rate,,70.8,77.7,Gender,Male
2012,2012,MD,Chronic Kidney Disease,Mortality with end-stage renal disease,11.7,"cases per 100,000",Crude Rate,,8.9,15.1,Race/Ethnicity,Hispanic
2019,2019,AL,Chronic Kidney Disease,Mortality with end-stage renal disease,1679.0,,Number,,,,Gender,Female
2014,2014,ID,Chronic Kidney Disease,Mortality with end-stage renal disease,13.7,"cases per 100,000",Crude Rate,,9.1,20.0,Race/Ethnicity,Hispanic
2012,2012,IL,Chronic Kidney Disease,Mortality with end-stage renal disease,4946.0,,Number,,,,Gender,Female
2013,2013,CO,Chronic Kidney Disease,Mortality with end-stage renal disease,264.0,,Number,,,,Race/Ethnicity,Hispanic
2013,2013,ID,Chronic Kidney Disease,Mortality with end-stage renal disease,39.6,"cases per 100,000",Age-adjusted Rate,,35.5,43.7,Gender,Female
2014,2014,DC,Chronic Kidney Disease,Mortality with end-stage renal disease,144.0,,Number,,,,Gender,Male
2013,2013,MD,Chronic Kidney Disease,Mortality with end-stage renal disease,62.1,"cases per 100,000",Crude Rate,,59.4,64.8,Race/Ethnicity,"White, non-Hispanic"
2011,2011,CA,Chronic Kidney Disease,Mortality with end-stage renal disease,82.1,"cases per 100,000",Age-adjusted Rate,,81.1,83.0,Overall,Overall
2014,2014,IL,Chronic Kidney Disease,Mortality with end-stage renal disease,54.1,"cases per 100,000",Age-adjusted Rate,,52.9,55.3,Overall,Overall
2011,2011,KY,Chronic Kidney Disease,Mortality with end-stage renal disease,124.0,"cases per 100,000",Age-adjusted Rate,,118.9,129.2,Gender,Male
2016,2016,IL,Chronic Kidney Disease,Mortality with end-stage renal disease,76.2,"cases per 100,000",Crude Rate,,74.3,78.2,Race/Ethnicity,"White, non-Hispanic"
2013,2013,CA,Chronic Kidney Disease,Mortality with end-stage renal disease,1908.0,,Number,,,,Race/Ethnicity,"Black, non-Hispanic"
2019,2019,KS,Chronic Kidney Disease,Mortality with end-stage renal disease,61.7,"cases per 100,000",Age-adjusted Rate,,58.9,64.4,Race/Ethnicity,"White, non-Hispanic"
2014,2014,AZ,Chronic Kidney Disease,Mortality with end-stage renal disease,1285.0,,Number,,,,Gender,Female
2018,2018,LA,Chronic Kidney Disease,Mortality with end-stage renal disease,1217.0,,Number,,,,Race/Ethnicity,"Black, non-Hispanic"
2013,2013,LA,Chronic Kidney Disease,Mortality with end-stage renal disease,1044.0,,Number,,,,Race/Ethnicity,"Black, non-Hispanic"
2020,2020,IL,Chronic Kidney Disease,Mortality with end-stage renal disease,31.9,"cases per 100,000",Age-adjusted Rate,,27.8,36.1,Race/Ethnicity,Asian or Pacific Islander
2015,2015,AR,Chronic Kidney Disease,Mortality with end-stage renal disease,75.1,"cases per 100,000",Crude Rate,,67.3,82.9,Race/Ethnicity,"Black, non-Hispanic"
2017,2017,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,58.0,,Number,,,,Race/Ethnicity,Hispanic
2011,2011,IA,Chronic Kidney Disease,Mortality with end-stage renal disease,57.0,"cases per 100,000",Crude Rate,,43.5,73.3,Race/Ethnicity,"Black, non-Hispanic"
2013,2013,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,51.1,"cases per 100,000",Age-adjusted Rate,,47.1,55.1,Race/Ethnicity,Asian or Pacific Islander
2019,2019,AR,Chronic Kidney Disease,Mortality with end-stage renal disease,24.7,"cases per 100,000",Age-adjusted Rate,,14.6,39.0,Race/Ethnicity,Hispanic
2012,2012,AZ,Chronic Kidney Disease,Mortality with end-stage renal disease,79.5,"cases per 100,000",Crude Rate,,76.7,82.3,Race/Ethnicity,"White, non-Hispanic"
2010,2010,AL,Chronic Kidney Disease,Mortality with end-stage renal disease,2138.0,,Number,,,,Gender,Female
2015,2015,AK,Chronic Kidney Disease,Mortality with end-stage renal disease,39.8,"cases per 100,000",Crude Rate,,34.1,45.4,Race/Ethnicity,"White, non-Hispanic"
2014,2014,LA,Chronic Kidney Disease,Mortality with end-stage renal disease,1121.0,,Number,,,,Race/Ethnicity,"Black, non-Hispanic"
2014,2014,AL,Chronic Kidney Disease,Mortality with end-stage renal disease,76.2,"cases per 100,000",Age-adjusted Rate,,72.6,79.9,Gender,Male
2019,2019,CA,Chronic Kidney Disease,Mortality with end-stage renal disease,52.8,"cases per 100,000",Age-adjusted Rate,,52.1,53.5,Overall,Overall
2012,2012,CA,Chronic Kidney Disease,Mortality with end-stage renal disease,17796.0,,Number,,,,Race/Ethnicity,"White, non-Hispanic"
2019,2019,IN,Chronic Kidney Disease,Mortality with end-stage renal disease,59.8,"cases per 100,000",Age-adjusted Rate,,48.7,70.8,Race/Ethnicity,Hispanic
2011,2011,IA,Chronic Kidney Disease,Mortality with end-stage renal disease,70.9,"cases per 100,000",Age-adjusted Rate,,68.2,73.5,Overall,Overall
2015,2015,AR,Chronic Kidney Disease,Mortality with end-stage renal disease,65.6,"cases per 100,000",Age-adjusted Rate,,62.9,68.3,Overall,Overall
2014,2014,CT,Chronic Kidney Disease,Mortality with end-stage renal disease,2233.0,,Number,,,,Overall,Overall
2018,2018,IL,Chronic Kidney Disease,Mortality with end-stage renal disease,31.0,"cases per 100,000",Age-adjusted Rate,,26.7,35.4,Race/Ethnicity,Asian or Pacific Islander
2014,2014,KS,Chronic Kidney Disease,Mortality with end-stage renal disease,1644.0,,Number,,,,Race/Ethnicity,"White, non-Hispanic"
2013,2013,MA,Chronic Kidney Disease,Mortality with end-stage renal disease,51.1,"cases per 100,000",Crude Rate,,44.7,57.6,Race/Ethnicity,"Black, non-Hispanic"
2010,2010,MD,Chronic Kidney Disease,Mortality with end-stage renal disease,69.2,"cases per 100,000",Crude Rate,,66.2,72.1,Gender,Female
2015,2015,AK,Chronic Kidney Disease,Mortality with end-stage renal disease,134.0,,Number,,,,Gender,Male
2010,2010,FL,Chronic Kidney Disease,Mortality with end-stage renal disease,2030.0,,Number,,,,Race/Ethnicity,"Black, non-Hispanic"
2013,2013,CT,Chronic Kidney Disease,Mortality with end-stage renal disease,61.6,"cases per 100,000",Crude Rate,,59.0,64.2,Overall,Overall
2016,2016,AZ,Chronic Kidney Disease,Mortality with end-stage renal disease,46.0,,Number,,,,Race/Ethnicity,Asian or Pacific Islander
2018,2018,GA,Chronic Kidney Disease,Mortality with end-stage renal disease,3566.0,,Number,,,,Race/Ethnicity,"White, non-Hispanic"
2015,2015,MD,Chronic Kidney Disease,Mortality with end-stage renal disease,1582.0,,Number,,,,Gender,Female
2019,2019,FL,Chronic Kidney Disease,Mortality with end-stage renal disease,28.1,"cases per 100,000",Crude Rate,,24.1,32.1,Race/Ethnicity,Asian or Pacific Islander
2014,2014,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,65.9,"cases per 100,000",Age-adjusted Rate,,60.0,71.7,Gender,Male
2010,2010,CA,Chronic Kidney Disease,Mortality with end-stage renal disease,63.9,"cases per 100,000",Crude Rate,,62.8,65.1,Gender,Female
2019,2019,AR,Chronic Kidney Disease,Mortality with end-stage renal disease,9.7,"cases per 100,000",Crude Rate,,6.2,14.6,Race/Ethnicity,Hispanic
2017,2017,IN,Chronic Kidney Disease,Mortality with end-stage renal disease,27.5,"cases per 100,000",Crude Rate,,20.2,36.7,Race/Ethnicity,Asian or Pacific Islander
2016,2016,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,382.0,,Number,,,,Gender,Female
2014,2014,AZ,Chronic Kidney Disease,Mortality with end-stage renal disease,88.7,"cases per 100,000",Age-adjusted Rate,,75.5,101.8,Race/Ethnicity,American Indian or Alaska Native
2011,2011,MA,Chronic Kidney Disease,Mortality with end-stage renal disease,4751.0,,Number,,,,Race/Ethnicity,"White, non-Hispanic"
2011,2011,GA,Chronic Kidney Disease,Mortality with end-stage renal disease,68.0,,Number,,,,Race/Ethnicity,Hispanic
2011,2011,FL,Chronic Kidney Disease,Mortality with end-stage renal disease,6101.0,,Number,,,,Gender,Female
2014,2014,MD,Chronic Kidney Disease,Mortality with end-stage renal disease,26.7,"cases per 100,000",Age-adjusted Rate,,20.9,33.6,Race/Ethnicity,Asian or Pacific Islander
2019,2019,AZ,Chronic Kidney Disease,Mortality with end-stage renal disease,49.3,"cases per 100,000",Age-adjusted Rate,,47.1,51.4,Gender,Male
2015,2015,LA,Chronic Kidney Disease,Mortality with end-stage renal disease,48.0,"cases per 100,000",Age-adjusted Rate,,45.7,50.3,Race/Ethnicity,"White, non-Hispanic"
2012,2012,KS,Chronic Kidney Disease,Mortality with end-stage renal disease,154.5,"cases per 100,000",Age-adjusted Rate,,97.9,231.8,Race/Ethnicity,American Indian or Alaska Native
2017,2017,AR,Chronic Kidney Disease,Mortality with end-stage renal disease,119.8,"cases per 100,000",Age-adjusted Rate,,108.6,130.9,Race/Ethnicity,"Black, non-Hispanic"
2015,2015,CT,Chronic Kidney Disease,Mortality with end-stage renal disease,2267.0,,Number,,,,Overall,Overall
2019,2019,FL,Chronic Kidney Disease,Mortality with end-stage renal disease,40.3,"cases per 100,000",Age-adjusted Rate,,39.5,41.2,Race/Ethnicity,"White, non-Hispanic"
2012,2012,AL,Chronic Kidney Disease,Mortality with end-stage renal disease,89.3,"cases per 100,000",Crude Rate,,85.6,93.0,Gender,Female
2019,2019,CT,Chronic Kidney Disease,Mortality with end-stage renal disease,49.2,"cases per 100,000",Age-adjusted Rate,,47.3,51.2,Overall,Overall
2014,2014,ID,Chronic Kidney Disease,Mortality with end-stage renal disease,50.4,"cases per 100,000",Crude Rate,,47.0,53.9,Overall,Overall
2016,2016,CA,Chronic Kidney Disease,Mortality with end-stage renal disease,57.5,"cases per 100,000",Crude Rate,,56.8,58.3,Overall,Overall
2012,2012,CT,Chronic Kidney Disease,Mortality with end-stage renal disease,54.6,"cases per 100,000",Age-adjusted Rate,,52.3,57.0,Race/Ethnicity,"White, non-Hispanic"
2018,2018,AZ,Chronic Kidney Disease,Mortality with end-stage renal disease,95.3,"cases per 100,000",Age-adjusted Rate,,82.6,108.1,Race/Ethnicity,American Indian or Alaska Native
2013,2013,AR,Chronic Kidney Disease,Mortality with end-stage renal disease,1855.0,,Number,,,,Race/Ethnicity,"White, non-Hispanic"
2013,2013,AL,Chronic Kidney Disease,Mortality with end-stage renal disease,1886.0,,Number,,,,Gender,Male
2012,2012,KY,Chronic Kidney Disease,Mortality with end-stage renal disease,108.2,"cases per 100,000",Crude Rate,,103.9,112.6,Gender,Female
2019,2019,AK,Chronic Kidney Disease,Mortality with end-stage renal disease,45.1,"cases per 100,000",Age-adjusted Rate,,38.6,51.5,Race/Ethnicity,"White, non-Hispanic"
2019,2019,DC,Chronic Kidney Disease,Mortality with end-stage renal disease,24.3,"cases per 100,000",Age-adjusted Rate,,18.2,31.9,Race/Ethnicity,"White, non-Hispanic"
2019,2019,KY,Chronic Kidney Disease,Mortality with end-stage renal disease,88.5,"cases per 100,000",Age-adjusted Rate,,85.9,91.2,Race/Ethnicity,"White, non-Hispanic"
2012,2012,MA,Chronic Kidney Disease,Mortality with end-stage renal disease,74.6,"cases per 100,000",Crude Rate,,71.7,77.5,Gender,Female
2018,2018,KS,Chronic Kidney Disease,Mortality with end-stage renal disease,114.3,"cases per 100,000",Age-adjusted Rate,,96.6,132.0,Race/Ethnicity,"Black, non-Hispanic"
2020,2020,CO,Chronic Kidney Disease,Mortality with end-stage renal disease,287.0,,Number,,,,Race/Ethnicity,"Black, non-Hispanic"
2017,2017,CA,Chronic Kidney Disease,Mortality with end-stage renal disease,2236.0,,Number,,,,Race/Ethnicity,"Black, non-Hispanic"
2018,2018,IL,Chronic Kidney Disease,Mortality with end-stage renal disease,4025.0,,Number,,,,Gender,Female
2015,2015,DE,Chronic Kidney Disease,Mortality with end-stage renal disease,44.8,"cases per 100,000",Age-adjusted Rate,,39.6,49.9,Gender,Female
2011,2011,LA,Chronic Kidney Disease,Mortality with end-stage renal disease,73.0,"cases per 100,000",Age-adjusted Rate,,70.5,75.5,Overall,Overall
2015,2015,KY,Chronic Kidney Disease,Mortality with end-stage renal disease,4231.0,,Number,,,,Overall,Overall
2020,2020,GA,Chronic Kidney Disease,Mortality with end-stage renal disease,57.3,"cases per 100,000",Age-adjusted Rate,,55.6,59.0,Race/Ethnicity,"White, non-Hispanic"
2018,2018,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,44.2,"cases per 100,000",Crude Rate,,37.4,51.1,Race/Ethnicity,"White, non-Hispanic"
2011,2011,AR,Chronic Kidney Disease,Mortality with end-stage renal disease,87.7,"cases per 100,000",Age-adjusted Rate,,84.5,90.9,Overall,Overall
2017,2017,CA,Chronic Kidney Disease,Mortality with end-stage renal disease,53.4,"cases per 100,000",Age-adjusted Rate,,52.7,54.1,Overall,Overall
2013,2013,IL,Chronic Kidney Disease,Mortality with end-stage renal disease,5952.0,,Number,,,,Race/Ethnicity,"White, non-Hispanic"
2019,2019,GA,Chronic Kidney Disease,Mortality with end-stage renal disease,2965.0,,Number,,,,Gender,Female
2014,2014,FL,Chronic Kidney Disease,Mortality with end-stage renal disease,50.7,"cases per 100,000",Age-adjusted Rate,,49.5,52.0,Gender,Male
2010,2010,AZ,Chronic Kidney Disease,Mortality with end-stage renal disease,57.5,"cases per 100,000",Crude Rate,,54.9,60.2,Gender,Male
2016,2016,AK,Chronic Kidney Disease,Mortality with end-stage renal disease,49.3,"cases per 100,000",Age-adjusted Rate,,42.0,56.6,Race/Ethnicity,"White, non-Hispanic"
2010,2010,FL,Chronic Kidney Disease,Mortality with end-stage renal disease,5665.0,,Number,,,,Gender,Female
2017,2017,MA,Chronic Kidney Disease,Mortality with end-stage renal disease,191.0,,Number,,,,Race/Ethnicity,Hispanic
2018,2018,IL,Chronic Kidney Disease,Mortality with end-stage renal disease,84.7,"cases per 100,000",Age-adjusted Rate,,80.5,89.0,Race/Ethnicity,"Black, non-Hispanic"
2011,2011,MD,Chronic Kidney Disease,Mortality with end-stage renal disease,94.3,"cases per 100,000",Crude Rate,,89.8,98.9,Race/Ethnicity,"Black, non-Hispanic"
2012,2012,AZ,Chronic Kidney Disease,Mortality with end-stage renal disease,77.0,"cases per 100,000",Age-adjusted Rate,,71.1,82.9,Race/Ethnicity,Hispanic
2015,2015,DE,Chronic Kidney Disease,Mortality with end-stage renal disease,656.0,,Number,,,,Overall,Overall
2019,2019,CT,Chronic Kidney Disease,Mortality with end-stage renal disease,46.1,"cases per 100,000",Age-adjusted Rate,,44.0,48.2,Race/Ethnicity,"White, non-Hispanic"
2020,2020,DE,Chronic Kidney Disease,Mortality with end-stage renal disease,62.7,"cases per 100,000",Age-adjusted Rate,,58.4,66.9,Overall,Overall
2017,2017,AL,Chronic Kidney Disease,Mortality with end-stage renal disease,72.3,"cases per 100,000",Crude Rate,,69.4,75.2,Race/Ethnicity,"White, non-Hispanic"
2011,2011,MD,Chronic Kidney Disease,Mortality with end-stage renal disease,77.4,"cases per 100,000",Age-adjusted Rate,,75.1,79.6,Overall,Overall
2016,2016,CO,Chronic Kidney Disease,Mortality with end-stage renal disease,49.1,"cases per 100,000",Crude Rate,,30.4,75.0,Race/Ethnicity,American Indian or Alaska Native
2011,2011,DC,Chronic Kidney Disease,Mortality with end-stage renal disease,280.0,,Number,,,,Gender,Female
2016,2016,CO,Chronic Kidney Disease,Mortality with end-stage renal disease,65.3,"cases per 100,000",Age-adjusted Rate,,58.6,72.0,Race/Ethnicity,Hispanic
2012,2012,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,913.0,,Number,,,,Race/Ethnicity,Asian or Pacific Islander
2012,2012,CO,Chronic Kidney Disease,Mortality with end-stage renal disease,56.2,"cases per 100,000",Crude Rate,,53.8,58.6,Race/Ethnicity,"White, non-Hispanic"
2010,2010,IA,Chronic Kidney Disease,Mortality with end-stage renal disease,2422.0,,Number,,,,Overall,Overall
2013,2013,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,899.0,,Number,,,,Overall,Overall
2019,2019,CA,Chronic Kidney Disease,Mortality with end-stage renal disease,92.9,"cases per 100,000",Age-adjusted Rate,,89.0,96.7,Race/Ethnicity,"Black, non-Hispanic"
2015,2015,IA,Chronic Kidney Disease,Mortality with end-stage renal disease,11.2,"cases per 100,000",Crude Rate,,6.8,17.3,Race/Ethnicity,Hispanic
2011,2011,KS,Chronic Kidney Disease,Mortality with end-stage renal disease,58.7,"cases per 100,000",Age-adjusted Rate,,55.2,62.2,Gender,Female
2016,2016,MA,Chronic Kidney Disease,Mortality with end-stage renal disease,20.4,"cases per 100,000",Crude Rate,,17.2,23.5,Race/Ethnicity,Hispanic
2010,2010,IA,Chronic Kidney Disease,Mortality with end-stage renal disease,73.2,"cases per 100,000",Crude Rate,,68.9,77.5,Gender,Female
2011,2011,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,238.0,,Number,,,,Race/Ethnicity,"White, non-Hispanic"
2019,2019,AR,Chronic Kidney Disease,Mortality with end-stage renal disease,1190.0,,Number,,,,Gender,Female
2016,2016,DE,Chronic Kidney Disease,Mortality with end-stage renal disease,587.0,,Number,,,,Race/Ethnicity,"White, non-Hispanic"
2012,2012,IA,Chronic Kidney Disease,Mortality with end-stage renal disease,1447.0,,Number,,,,Gender,Female
2016,2016,LA,Chronic Kidney Disease,Mortality with end-stage renal disease,20.9,"cases per 100,000",Age-adjusted Rate,,14.3,29.4,Race/Ethnicity,Hispanic
2015,2015,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,50.0,,Number,,,,Race/Ethnicity,Hispanic
2018,2018,AZ,Chronic Kidney Disease,Mortality with end-stage renal disease,43.3,"cases per 100,000",Age-adjusted Rate,,39.6,47.0,Race/Ethnicity,Hispanic
2017,2017,CO,Chronic Kidney Disease,Mortality with end-stage renal disease,50.5,"cases per 100,000",Age-adjusted Rate,,48.0,53.0,Gender,Female
2013,2013,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,36.9,"cases per 100,000",Crude Rate,,27.5,48.6,Race/Ethnicity,Hispanic
2013,2013,CT,Chronic Kidney Disease,Mortality with end-stage renal disease,228.0,,Number,,,,Race/Ethnicity,"Black, non-Hispanic"
2010,2010,CO,Chronic Kidney Disease,Mortality with end-stage renal disease,30.6,"cases per 100,000",Crude Rate,,27.3,34.0,Race/Ethnicity,Hispanic
2013,2013,CA,Chronic Kidney Disease,Mortality with end-stage renal disease,53.9,"cases per 100,000",Crude Rate,,53.1,54.6,Overall,Overall
2015,2015,KS,Chronic Kidney Disease,Mortality with end-stage renal disease,63.0,,Number,,,,Race/Ethnicity,Hispanic
2015,2015,LA,Chronic Kidney Disease,Mortality with end-stage renal disease,64.7,"cases per 100,000",Crude Rate,,61.4,68.0,Gender,Male
2011,2011,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,87.3,"cases per 100,000",Crude Rate,,82.3,92.2,Overall,Overall
2013,2013,AZ,Chronic Kidney Disease,Mortality with end-stage renal disease,41.6,"cases per 100,000",Age-adjusted Rate,,37.5,45.8,Race/Ethnicity,Hispanic
2011,2011,LA,Chronic Kidney Disease,Mortality with end-stage renal disease,62.9,"cases per 100,000",Age-adjusted Rate,,59.9,66.0,Gender,Female
2015,2015,CT,Chronic Kidney Disease,Mortality with end-stage renal disease,39.0,"cases per 100,000",Age-adjusted Rate,,36.7,41.4,Gender,Female
2012,2012,DE,Chronic Kidney Disease,Mortality with end-stage renal disease,401.0,,Number,,,,Gender,Male
2018,2018,CT,Chronic Kidney Disease,Mortality with end-stage renal disease,43.9,"cases per 100,000",Age-adjusted Rate,,41.8,45.9,Race/Ethnicity,"White, non-Hispanic"
2016,2016,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,63.5,"cases per 100,000",Crude Rate,,57.7,69.4,Gender,Male
2020,2020,DC,Chronic Kidney Disease,Mortality with end-stage renal disease,22.6,"cases per 100,000",Age-adjusted Rate,,17.0,29.4,Race/Ethnicity,"White, non-Hispanic"
2020,2020,IA,Chronic Kidney Disease,Mortality with end-stage renal disease,67.2,"cases per 100,000",Age-adjusted Rate,,49.0,89.9,Race/Ethnicity,Hispanic
2019,2019,CA,Chronic Kidney Disease,Mortality with end-stage renal disease,84.3,"cases per 100,000",Crude Rate,,71.8,96.9,Race/Ethnicity,American Indian or Alaska Native
2015,2015,FL,Chronic Kidney Disease,Mortality with end-stage renal disease,8316.0,,Number,,,,Race/Ethnicity,"White, non-Hispanic"
2020,2020,AZ,Chronic Kidney Disease,Mortality with end-stage renal disease,39.3,"cases per 100,000",Age-adjusted Rate,,31.6,46.9,Race/Ethnicity,Asian or Pacific Islander
2014,2014,MD,Chronic Kidney Disease,Mortality with end-stage renal disease,1134.0,,Number,,,,Race/Ethnicity,"Black, non-Hispanic"
2010,2010,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,416.0,,Number,,,,Gender,Female
2010,2010,AL,Chronic Kidney Disease,Mortality with end-stage renal disease,95.7,"cases per 100,000",Crude Rate,,91.7,99.7,Gender,Male
2011,2011,IL,Chronic Kidney Disease,Mortality with end-stage renal disease,22.6,"cases per 100,000",Crude Rate,,20.6,24.6,Race/Ethnicity,Hispanic
2017,2017,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,62.5,"cases per 100,000",Crude Rate,,58.4,66.6,Overall,Overall
2018,2018,FL,Chronic Kidney Disease,Mortality with end-stage renal disease,52.1,"cases per 100,000",Age-adjusted Rate,,50.9,53.3,Gender,Male
2016,2016,AR,Chronic Kidney Disease,Mortality with end-stage renal disease,84.1,"cases per 100,000",Age-adjusted Rate,,79.5,88.7,Gender,Male
2016,2016,CT,Chronic Kidney Disease,Mortality with end-stage renal disease,1299.0,,Number,,,,Gender,Male
2017,2017,GA,Chronic Kidney Disease,Mortality with end-stage renal disease,65.1,"cases per 100,000",Age-adjusted Rate,,62.6,67.6,Gender,Male
2020,2020,GA,Chronic Kidney Disease,Mortality with end-stage renal disease,3748.0,,Number,,,,Gender,Female
2015,2015,ID,Chronic Kidney Disease,Mortality with end-stage renal disease,50.8,"cases per 100,000",Crude Rate,,46.0,55.7,Gender,Female
2018,2018,LA,Chronic Kidney Disease,Mortality with end-stage renal disease,18.5,"cases per 100,000",Crude Rate,,13.5,24.7,Race/Ethnicity,Hispanic
2015,2015,AZ,Chronic Kidney Disease,Mortality with end-stage renal disease,2394.0,,Number,,,,Race/Ethnicity,"White, non-Hispanic"
2019,2019,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,894.0,,Number,,,,Overall,Overall
2015,2015,AZ,Chronic Kidney Disease,Mortality with end-stage renal disease,123.0,,Number,,,,Race/Ethnicity,"Black, non-Hispanic"
2012,2012,ID,Chronic Kidney Disease,Mortality with end-stage renal disease,74.8,"cases per 100,000",Crude Rate,,68.8,80.8,Gender,Male
2020,2020,KS,Chronic Kidney Disease,Mortality with end-stage renal disease,157.0,,Number,,,,Race/Ethnicity,Hispanic
