YearStart,YearEnd,LocationAbbr,Topic,Question,DataValue,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1
2017,2017,RI,Disability,Disability among adults aged >= 65 years,33.1,,30.7,35.5,Gender,Female
2015,2015,NJ,Disability,Disability among adults aged >= 65 years,25.6,,23.0,28.2,Race/Ethnicity,"Asian, non-Hispanic"
2015,2015,NY,Disability,Disability among adults aged >= 65 years,33.4,,33.0,33.8,Overall,Overall
2018,2018,TX,Disability,Disability among adults aged >= 65 years,36.2,,35.6,36.8,Gender,Male
2013,2013,WA,Disability,Disability among adults aged >= 65 years,36.7,,35.9,37.5,Race/Ethnicity,"White, non-Hispanic"
2012,2012,OK,Disability,Disability among adults aged >= 65 years,40.8,,39.9,41.7,Overall,Overall
2017,2017,MI,Disability,Disability among adults aged >= 65 years,40.6,,36.2,45.0,Race/Ethnicity,Hispanic
2012,2012,OR,Disability,Disability among adults aged >= 65 years,40.0,,33.9,46.1,Race/Ethnicity,"Asian, non-Hispanic"
2016,2016,IL,Disability,Disability among adults aged >= 65 years,34.6,,34.0,35.2,Gender,Female
2011,2011,HI,Disability,Disability among adults aged >= 65 years,34.6,,32.7,36.6,Gender,Female
2013,2013,NJ,Disability,Disability among adults aged >= 65 years,32.6,,31.9,33.3,Race/Ethnicity,"White, non-Hispanic"
2015,2015,MA,Disability,Disability among adults aged >= 65 years,43.6,,39.2,48.0,Race/Ethnicity,"Black, non-Hispanic"
2015,2015,US,Disability,Disability among adults aged >= 65 years,35.4,,35.3,35.5,Overall,Overall
2015,2015,HI,Disability,Disability among adults aged >= 65 years,33.0,,31.5,34.5,Overall,Overall
2010,2010,CA,Disability,Disability among adults aged >= 65 years,36.8,,36.4,37.2,Overall,Overall
2010,2010,PA,Disability,Disability among adults aged >= 65 years,46.7,,41.5,51.8,Race/Ethnicity,Hispanic
2011,2011,WI,Disability,Disability among adults aged >= 65 years,32.3,,21.4,43.2,Race/Ethnicity,"Asian, non-Hispanic"
2016,2016,ME,Disability,Disability among adults aged >= 65 years,33.1,,31.8,34.4,Race/Ethnicity,"White, non-Hispanic"
2016,2016,CA,Disability,Disability among adults aged >= 65 years,36.7,,36.2,37.2,Gender,Female
2011,2011,MN,Disability,Disability among adults aged >= 65 years,32.0,,31.3,32.7,Overall,Overall
2011,2011,IA,Disability,Disability among adults aged >= 65 years,33.4,,32.5,34.3,Race/Ethnicity,"White, non-Hispanic"
2011,2011,IN,Disability,Disability among adults aged >= 65 years,37.9,,37.1,38.7,Overall,Overall
2019,2019,LA,Disability,Disability among adults aged >= 65 years,35.3,,29.1,41.4,Race/Ethnicity,Hispanic
2011,2011,WI,Disability,Disability among adults aged >= 65 years,32.9,,32.1,33.7,Gender,Female
2011,2011,HI,Disability,Disability among adults aged >= 65 years,34.6,,32.9,36.3,Race/Ethnicity,"Asian, non-Hispanic"
2015,2015,ID,Disability,Disability among adults aged >= 65 years,39.7,,37.3,42.0,Gender,Male
2013,2013,KY,Disability,Disability among adults aged >= 65 years,41.9,,41.0,42.8,Race/Ethnicity,"White, non-Hispanic"
2019,2019,KS,Disability,Disability among adults aged >= 65 years,33.5,,32.6,34.5,Race/Ethnicity,"White, non-Hispanic"
2018,2018,AR,Disability,Disability among adults aged >= 65 years,43.8,,32.1,55.6,Race/Ethnicity,Hispanic
2015,2015,SC,Disability,Disability among adults aged >= 65 years,37.4,,36.6,38.2,Overall,Overall
2018,2018,SC,Disability,Disability among adults aged >= 65 years,33.1,,32.3,33.9,Race/Ethnicity,"White, non-Hispanic"
2012,2012,AK,Disability,Disability among adults aged >= 65 years,41.5,,37.6,45.3,Gender,Male
2015,2015,WI,Disability,Disability among adults aged >= 65 years,31.8,,30.9,32.8,Gender,Female
2017,2017,LA,Disability,Disability among adults aged >= 65 years,37.7,,36.5,38.9,Race/Ethnicity,"White, non-Hispanic"
2015,2015,OH,Disability,Disability among adults aged >= 65 years,19.8,,15.9,23.7,Race/Ethnicity,"Asian, non-Hispanic"
2019,2019,VA,Disability,Disability among adults aged >= 65 years,31.3,,29.8,32.7,Gender,Male
2017,2017,HI,Disability,Disability among adults aged >= 65 years,32.9,,30.8,35.1,Gender,Male
2015,2015,VT,Disability,Disability among adults aged >= 65 years,33.6,,31.8,35.4,Overall,Overall
2014,2014,MA,Disability,Disability among adults aged >= 65 years,34.1,,33.2,35.1,Gender,Female
2012,2012,VA,Disability,Disability among adults aged >= 65 years,33.6,,32.9,34.3,Overall,Overall
2012,2012,UT,Disability,Disability among adults aged >= 65 years,35.6,,34.0,37.2,Gender,Male
2012,2012,TN,Disability,Disability among adults aged >= 65 years,39.8,,39.0,40.6,Overall,Overall
2012,2012,LA,Disability,Disability among adults aged >= 65 years,41.5,,40.1,42.8,Gender,Male
2018,2018,UT,Disability,Disability among adults aged >= 65 years,33.9,,33.8,34.1,Gender,Female
2016,2016,SD,Disability,Disability among adults aged >= 65 years,31.0,,28.4,33.7,Gender,Female
2017,2017,WA,Disability,Disability among adults aged >= 65 years,35.7,,35.0,36.4,Race/Ethnicity,"White, non-Hispanic"
2013,2013,ID,Disability,Disability among adults aged >= 65 years,39.1,,37.3,40.9,Overall,Overall
2011,2011,NV,Disability,Disability among adults aged >= 65 years,35.1,,30.7,39.4,Race/Ethnicity,Hispanic
2011,2011,NJ,Disability,Disability among adults aged >= 65 years,27.6,,24.5,30.7,Race/Ethnicity,"Asian, non-Hispanic"
2014,2014,UT,Disability,Disability among adults aged >= 65 years,33.9,,27.6,40.1,Race/Ethnicity,Hispanic
2015,2015,NY,Disability,Disability among adults aged >= 65 years,28.1,,26.7,29.5,Race/Ethnicity,"Asian, non-Hispanic"
2014,2014,NJ,Disability,Disability among adults aged >= 65 years,36.8,,34.3,39.2,Race/Ethnicity,Hispanic
2010,2010,DE,Disability,Disability among adults aged >= 65 years,31.3,,29.8,32.8,Overall,Overall
2014,2014,ME,Disability,Disability among adults aged >= 65 years,33.5,,32.2,34.8,Overall,Overall
2019,2019,IL,Disability,Disability among adults aged >= 65 years,32.1,,31.1,33.1,Gender,Female
2017,2017,PA,Disability,Disability among adults aged >= 65 years,43.3,,41.2,45.4,Race/Ethnicity,"Black, non-Hispanic"
2017,2017,MA,Disability,Disability among adults aged >= 65 years,31.3,,30.5,32.1,Race/Ethnicity,"White, non-Hispanic"
2019,2019,IA,Disability,Disability among adults aged >= 65 years,30.8,,29.9,31.7,Race/Ethnicity,"White, non-Hispanic"
2017,2017,NJ,Disability,Disability among adults aged >= 65 years,29.5,,28.8,30.2,Race/Ethnicity,"White, non-Hispanic"
2018,2018,PA,Disability,Disability among adults aged >= 65 years,32.1,,31.7,32.5,Race/Ethnicity,"White, non-Hispanic"
2010,2010,VA,Disability,Disability among adults aged >= 65 years,33.4,,32.3,34.6,Gender,Male
2012,2012,DE,Disability,Disability among adults aged >= 65 years,33.1,,30.9,35.3,Gender,Female
2018,2018,TX,Disability,Disability among adults aged >= 65 years,34.7,,34.1,35.2,Race/Ethnicity,"White, non-Hispanic"
2015,2015,UT,Disability,Disability among adults aged >= 65 years,36.3,,30.1,42.4,Race/Ethnicity,Hispanic
2019,2019,IL,Disability,Disability among adults aged >= 65 years,31.7,,31.1,32.3,Overall,Overall
2011,2011,MA,Disability,Disability among adults aged >= 65 years,39.8,,35.2,44.4,Race/Ethnicity,"Black, non-Hispanic"
2011,2011,VA,Disability,Disability among adults aged >= 65 years,36.6,,35.7,37.5,Gender,Female
2018,2018,ND,Disability,Disability among adults aged >= 65 years,33.1,,31.3,34.9,Race/Ethnicity,"White, non-Hispanic"
2017,2017,MA,Disability,Disability among adults aged >= 65 years,34.8,,30.8,38.8,Race/Ethnicity,"Asian, non-Hispanic"
2013,2013,MO,Disability,Disability among adults aged >= 65 years,40.9,,38.3,43.5,Race/Ethnicity,"Black, non-Hispanic"
2016,2016,CT,Disability,Disability among adults aged >= 65 years,31.7,,30.9,32.5,Overall,Overall
2016,2016,VT,Disability,Disability among adults aged >= 65 years,30.5,,28.4,32.6,Gender,Female
2019,2019,CA,Disability,Disability among adults aged >= 65 years,34.8,,34.1,35.4,Gender,Female
2016,2016,NY,Disability,Disability among adults aged >= 65 years,34.7,,34.2,35.2,Gender,Female
2017,2017,OH,Disability,Disability among adults aged >= 65 years,33.5,,32.9,34.2,Gender,Male
2010,2010,GA,Disability,Disability among adults aged >= 65 years,41.0,,40.0,42.1,Gender,Female
2010,2010,OH,Disability,Disability among adults aged >= 65 years,47.3,,40.5,54.0,Race/Ethnicity,Hispanic
2018,2018,TN,Disability,Disability among adults aged >= 65 years,37.2,,36.2,38.3,Gender,Female
2017,2017,MN,Disability,Disability among adults aged >= 65 years,30.2,,29.6,30.8,Race/Ethnicity,"White, non-Hispanic"
2012,2012,MD,Disability,Disability among adults aged >= 65 years,30.8,,29.7,31.9,Gender,Male
2016,2016,AK,Disability,Disability among adults aged >= 65 years,56.3,,49.3,63.3,Race/Ethnicity,American Indian or Alaska Native
2019,2019,WY,Disability,Disability among adults aged >= 65 years,37.1,,21.6,52.6,Race/Ethnicity,Hispanic
2013,2013,KY,Disability,Disability among adults aged >= 65 years,41.7,,36.9,46.5,Race/Ethnicity,"Black, non-Hispanic"
2014,2014,MN,Disability,Disability among adults aged >= 65 years,30.8,,29.9,31.6,Gender,Female
2011,2011,AZ,Disability,Disability among adults aged >= 65 years,39.6,,37.3,42.0,Race/Ethnicity,Hispanic
2019,2019,KY,Disability,Disability among adults aged >= 65 years,28.7,,18.6,38.8,Race/Ethnicity,Hispanic
2016,2016,VA,Disability,Disability among adults aged >= 65 years,32.6,,32.0,33.2,Overall,Overall
2011,2011,SD,Disability,Disability among adults aged >= 65 years,35.4,,33.3,37.5,Overall,Overall
2010,2010,KS,Disability,Disability among adults aged >= 65 years,44.9,,36.0,53.9,Race/Ethnicity,Hispanic
2019,2019,AK,Disability,Disability among adults aged >= 65 years,31.6,,26.8,36.4,Gender,Female
2016,2016,KS,Disability,Disability among adults aged >= 65 years,34.6,,33.7,35.5,Race/Ethnicity,"White, non-Hispanic"
2018,2018,DE,Disability,Disability among adults aged >= 65 years,30.9,,28.8,33.0,Gender,Female
2016,2016,OK,Disability,Disability among adults aged >= 65 years,42.1,,41.2,43.0,Overall,Overall
2016,2016,NV,Disability,Disability among adults aged >= 65 years,36.2,,34.6,37.7,Gender,Male
2014,2014,SC,Disability,Disability among adults aged >= 65 years,35.4,,24.1,46.7,Race/Ethnicity,Hispanic
2014,2014,CA,Disability,Disability among adults aged >= 65 years,35.7,,35.4,36.0,Overall,Overall
2011,2011,TX,Disability,Disability among adults aged >= 65 years,47.2,,45.9,48.5,Race/Ethnicity,Hispanic
2011,2011,ID,Disability,Disability among adults aged >= 65 years,41.1,,38.6,43.5,Gender,Male
2016,2016,AR,Disability,Disability among adults aged >= 65 years,40.4,,39.3,41.5,Overall,Overall
2011,2011,AL,Disability,Disability among adults aged >= 65 years,42.8,,41.8,43.8,Gender,Female
2013,2013,HI,Disability,Disability among adults aged >= 65 years,34.5,,32.5,36.5,Gender,Male
2012,2012,WA,Disability,Disability among adults aged >= 65 years,35.2,,34.1,36.2,Gender,Female
2015,2015,IA,Disability,Disability among adults aged >= 65 years,32.6,,31.8,33.4,Race/Ethnicity,"White, non-Hispanic"
2010,2010,OK,Disability,Disability among adults aged >= 65 years,40.8,,32.5,49.2,Race/Ethnicity,Hispanic
2011,2011,CO,Disability,Disability among adults aged >= 65 years,33.0,,26.7,39.3,Race/Ethnicity,"Asian, non-Hispanic"
2015,2015,FL,Disability,Disability among adults aged >= 65 years,33.2,,32.6,33.7,Gender,Male
2019,2019,VT,Disability,Disability among adults aged >= 65 years,46.6,,0.0,100.0,Race/Ethnicity,Hispanic
2017,2017,GA,Disability,Disability among adults aged >= 65 years,35.1,,34.4,35.8,Race/Ethnicity,"White, non-Hispanic"
2012,2012,CT,Disability,Disability among adults aged >= 65 years,31.7,,30.9,32.5,Overall,Overall
2015,2015,MO,Disability,Disability among adults aged >= 65 years,27.0,,19.8,34.2,Race/Ethnicity,"Asian, non-Hispanic"
2017,2017,DC,Disability,Disability among adults aged >= 65 years,36.2,,31.7,40.7,Gender,Male
2012,2012,AK,Disability,Disability among adults aged >= 65 years,58.8,,53.1,64.5,Race/Ethnicity,American Indian or Alaska Native
2014,2014,WY,Disability,Disability among adults aged >= 65 years,24.9,,13.6,36.2,Race/Ethnicity,Hispanic
2017,2017,OK,Disability,Disability among adults aged >= 65 years,40.2,,38.9,41.5,Gender,Female
2019,2019,HI,Disability,Disability among adults aged >= 65 years,28.1,,25.4,30.8,Race/Ethnicity,"White, non-Hispanic"
2010,2010,CO,Disability,Disability among adults aged >= 65 years,35.7,,34.6,36.8,Gender,Female
2016,2016,ND,Disability,Disability among adults aged >= 65 years,33.6,,31.0,36.2,Gender,Female
2016,2016,LA,Disability,Disability among adults aged >= 65 years,39.4,,37.9,40.8,Gender,Male
2011,2011,NH,Disability,Disability among adults aged >= 65 years,35.8,,33.3,38.2,Gender,Male
2016,2016,TX,Disability,Disability among adults aged >= 65 years,46.7,,39.3,54.1,Race/Ethnicity,American Indian or Alaska Native
2010,2010,LA,Disability,Disability among adults aged >= 65 years,43.1,,42.1,44.1,Overall,Overall
2010,2010,DC,Disability,Disability among adults aged >= 65 years,34.0,,31.4,36.6,Overall,Overall
2012,2012,AL,Disability,Disability among adults aged >= 65 years,41.9,,40.9,42.9,Race/Ethnicity,"White, non-Hispanic"
2012,2012,WY,Disability,Disability among adults aged >= 65 years,34.6,,31.7,37.6,Gender,Female
2013,2013,AL,Disability,Disability among adults aged >= 65 years,37.6,,25.6,49.5,Race/Ethnicity,Hispanic
2010,2010,LA,Disability,Disability among adults aged >= 65 years,36.2,,28.7,43.7,Race/Ethnicity,Hispanic
2014,2014,TN,Disability,Disability among adults aged >= 65 years,38.7,,37.7,39.7,Gender,Male
2011,2011,OH,Disability,Disability among adults aged >= 65 years,26.7,,20.9,32.5,Race/Ethnicity,"Asian, non-Hispanic"
2016,2016,WI,Disability,Disability among adults aged >= 65 years,29.5,,22.4,36.6,Race/Ethnicity,"Asian, non-Hispanic"
2018,2018,WI,Disability,Disability among adults aged >= 65 years,40.5,,38.8,42.2,Gender,Female
2018,2018,ND,Disability,Disability among adults aged >= 65 years,30.4,,0.0,62.1,Race/Ethnicity,Hispanic
2013,2013,NC,Disability,Disability among adults aged >= 65 years,37.0,,36.4,37.6,Race/Ethnicity,"White, non-Hispanic"
2010,2010,UT,Disability,Disability among adults aged >= 65 years,42.6,,33.4,51.8,Race/Ethnicity,Hispanic
2018,2018,CO,Disability,Disability among adults aged >= 65 years,30.6,,29.7,31.4,Race/Ethnicity,"White, non-Hispanic"
2017,2017,OH,Disability,Disability among adults aged >= 65 years,37.8,,32.7,42.9,Race/Ethnicity,Hispanic
2017,2017,SC,Disability,Disability among adults aged >= 65 years,36.0,,34.8,37.1,Gender,Male
2010,2010,WY,Disability,Disability among adults aged >= 65 years,31.1,,14.4,47.9,Race/Ethnicity,Hispanic
2012,2012,PA,Disability,Disability among adults aged >= 65 years,35.8,,35.3,36.4,Gender,Female
2015,2015,AZ,Disability,Disability among adults aged >= 65 years,28.3,,23.3,33.3,Race/Ethnicity,"Asian, non-Hispanic"
2016,2016,MN,Disability,Disability among adults aged >= 65 years,44.6,,38.3,50.9,Race/Ethnicity,"Black, non-Hispanic"
2013,2013,OK,Disability,Disability among adults aged >= 65 years,40.5,,39.4,41.6,Gender,Female
2014,2014,IA,Disability,Disability among adults aged >= 65 years,40.0,,28.2,51.7,Race/Ethnicity,Hispanic
2011,2011,MI,Disability,Disability among adults aged >= 65 years,35.2,,34.4,36.0,Gender,Male
2015,2015,NC,Disability,Disability among adults aged >= 65 years,42.6,,41.0,44.2,Race/Ethnicity,"Black, non-Hispanic"
2011,2011,HI,Disability,Disability among adults aged >= 65 years,34.3,,33.0,35.6,Overall,Overall
2017,2017,AZ,Disability,Disability among adults aged >= 65 years,34.2,,29.3,39.1,Race/Ethnicity,"Black, non-Hispanic"
2019,2019,OH,Disability,Disability among adults aged >= 65 years,32.6,,27.7,37.4,Race/Ethnicity,Hispanic
2016,2016,NC,Disability,Disability among adults aged >= 65 years,36.0,,35.2,36.7,Gender,Female
2017,2017,MO,Disability,Disability among adults aged >= 65 years,40.5,,38.0,43.0,Race/Ethnicity,"Black, non-Hispanic"
2016,2016,UT,Disability,Disability among adults aged >= 65 years,33.4,,31.6,35.2,Gender,Male
2019,2019,PR,Disability,Disability among adults aged >= 65 years,45.3,,43.1,47.6,Gender,Male
2013,2013,NM,Disability,Disability among adults aged >= 65 years,39.0,,37.3,40.7,Race/Ethnicity,"White, non-Hispanic"
2014,2014,OR,Disability,Disability among adults aged >= 65 years,45.4,,37.7,53.1,Race/Ethnicity,Hispanic
2019,2019,OR,Disability,Disability among adults aged >= 65 years,34.9,,34.0,35.8,Overall,Overall
2014,2014,UT,Disability,Disability among adults aged >= 65 years,34.3,,33.1,35.5,Race/Ethnicity,"White, non-Hispanic"
2010,2010,SC,Disability,Disability among adults aged >= 65 years,38.4,,37.6,39.2,Overall,Overall
2013,2013,NE,Disability,Disability among adults aged >= 65 years,32.7,,31.0,34.4,Gender,Female
2017,2017,MS,Disability,Disability among adults aged >= 65 years,42.1,,40.5,43.7,Race/Ethnicity,"White, non-Hispanic"
2012,2012,NC,Disability,Disability among adults aged >= 65 years,28.3,,23.1,33.4,Race/Ethnicity,Hispanic
2011,2011,WA,Disability,Disability among adults aged >= 65 years,37.3,,36.5,38.1,Overall,Overall
2018,2018,GA,Disability,Disability among adults aged >= 65 years,33.6,,32.8,34.4,Race/Ethnicity,"White, non-Hispanic"
2016,2016,MS,Disability,Disability among adults aged >= 65 years,39.8,,38.5,41.1,Race/Ethnicity,"White, non-Hispanic"
2018,2018,VT,Disability,Disability among adults aged >= 65 years,31.4,,29.6,33.2,Race/Ethnicity,"White, non-Hispanic"
2012,2012,WI,Disability,Disability among adults aged >= 65 years,31.8,,30.9,32.8,Gender,Male
2016,2016,MD,Disability,Disability among adults aged >= 65 years,33.2,,32.2,34.2,Gender,Female
2019,2019,CO,Disability,Disability among adults aged >= 65 years,36.9,,33.9,39.9,Race/Ethnicity,Hispanic
2015,2015,MT,Disability,Disability among adults aged >= 65 years,36.1,,33.9,38.3,Gender,Male
2017,2017,US,Disability,Disability among adults aged >= 65 years,33.8,,33.7,33.9,Race/Ethnicity,"White, non-Hispanic"
2014,2014,PA,Disability,Disability among adults aged >= 65 years,34.0,,33.6,34.4,Race/Ethnicity,"White, non-Hispanic"
2013,2013,NY,Disability,Disability among adults aged >= 65 years,34.1,,33.7,34.5,Overall,Overall
2016,2016,DE,Disability,Disability among adults aged >= 65 years,32.5,,30.2,34.8,Gender,Female
2018,2018,IA,Disability,Disability among adults aged >= 65 years,31.0,,30.2,31.9,Race/Ethnicity,"White, non-Hispanic"
2010,2010,WI,Disability,Disability among adults aged >= 65 years,30.3,,22.7,37.8,Race/Ethnicity,Hispanic
2017,2017,TN,Disability,Disability among adults aged >= 65 years,37.8,,35.4,40.2,Race/Ethnicity,"Black, non-Hispanic"
2012,2012,NV,Disability,Disability among adults aged >= 65 years,36.2,,34.4,38.0,Gender,Male
2014,2014,KS,Disability,Disability among adults aged >= 65 years,42.2,,35.1,49.3,Race/Ethnicity,Hispanic
2015,2015,WV,Disability,Disability among adults aged >= 65 years,40.5,,38.8,42.2,Gender,Female
2017,2017,NC,Disability,Disability among adults aged >= 65 years,34.8,,33.9,35.8,Gender,Male
2016,2016,MO,Disability,Disability among adults aged >= 65 years,37.2,,36.3,38.1,Gender,Male
2016,2016,HI,Disability,Disability among adults aged >= 65 years,34.3,,32.7,35.8,Gender,Female
2014,2014,MD,Disability,Disability among adults aged >= 65 years,30.8,,25.6,36.0,Race/Ethnicity,Hispanic
2016,2016,OR,Disability,Disability among adults aged >= 65 years,37.1,,31.2,43.0,Race/Ethnicity,"Asian, non-Hispanic"
2013,2013,DC,Disability,Disability among adults aged >= 65 years,30.1,,13.1,47.0,Race/Ethnicity,Hispanic
2015,2015,HI,Disability,Disability among adults aged >= 65 years,33.7,,31.8,35.6,Race/Ethnicity,"Asian, non-Hispanic"
2016,2016,WV,Disability,Disability among adults aged >= 65 years,43.7,,41.9,45.4,Gender,Male
2013,2013,RI,Disability,Disability among adults aged >= 65 years,34.4,,32.5,36.3,Race/Ethnicity,"White, non-Hispanic"
2013,2013,CT,Disability,Disability among adults aged >= 65 years,31.8,,31.0,32.6,Race/Ethnicity,"White, non-Hispanic"
2017,2017,IN,Disability,Disability among adults aged >= 65 years,35.1,,34.1,36.1,Gender,Male
2018,2018,MO,Disability,Disability among adults aged >= 65 years,36.2,,35.5,36.9,Race/Ethnicity,"White, non-Hispanic"
2012,2012,NE,Disability,Disability among adults aged >= 65 years,32.9,,31.5,34.3,Gender,Female
2016,2016,RI,Disability,Disability among adults aged >= 65 years,31.1,,29.2,33.0,Race/Ethnicity,"White, non-Hispanic"
2014,2014,AL,Disability,Disability among adults aged >= 65 years,41.8,,41.0,42.6,Overall,Overall
2010,2010,NC,Disability,Disability among adults aged >= 65 years,39.6,,38.6,40.7,Gender,Female
2010,2010,US,Disability,Disability among adults aged >= 65 years,43.1,,42.6,43.6,Race/Ethnicity,"Black, non-Hispanic"
2017,2017,CO,Disability,Disability among adults aged >= 65 years,43.2,,40.5,45.9,Race/Ethnicity,Hispanic
2015,2015,NH,Disability,Disability among adults aged >= 65 years,33.2,,30.9,35.4,Gender,Male
2012,2012,GA,Disability,Disability among adults aged >= 65 years,42.5,,41.1,43.9,Race/Ethnicity,"Black, non-Hispanic"
2015,2015,WA,Disability,Disability among adults aged >= 65 years,35.8,,35.1,36.5,Overall,Overall
2016,2016,GA,Disability,Disability among adults aged >= 65 years,35.7,,34.6,36.7,Gender,Male
2019,2019,SD,Disability,Disability among adults aged >= 65 years,42.8,,13.1,72.6,Race/Ethnicity,Hispanic
2014,2014,IL,Disability,Disability among adults aged >= 65 years,35.1,,34.7,35.5,Overall,Overall
2015,2015,DC,Disability,Disability among adults aged >= 65 years,37.0,,33.9,40.0,Gender,Female
2015,2015,MD,Disability,Disability among adults aged >= 65 years,33.1,,32.2,34.0,Gender,Female
2014,2014,LA,Disability,Disability among adults aged >= 65 years,35.8,,29.6,42.0,Race/Ethnicity,Hispanic
2013,2013,MA,Disability,Disability among adults aged >= 65 years,33.0,,32.2,33.8,Race/Ethnicity,"White, non-Hispanic"
2014,2014,IL,Disability,Disability among adults aged >= 65 years,34.0,,33.5,34.5,Race/Ethnicity,"White, non-Hispanic"
2016,2016,GA,Disability,Disability among adults aged >= 65 years,37.2,,36.3,38.1,Gender,Female
2010,2010,NJ,Disability,Disability among adults aged >= 65 years,36.5,,34.2,38.8,Race/Ethnicity,"Black, non-Hispanic"
2012,2012,AR,Disability,Disability among adults aged >= 65 years,51.0,,47.4,54.6,Race/Ethnicity,"Black, non-Hispanic"
2011,2011,WV,Disability,Disability among adults aged >= 65 years,43.4,,41.9,45.0,Gender,Female
2016,2016,CA,Disability,Disability among adults aged >= 65 years,46.7,,41.6,51.8,Race/Ethnicity,American Indian or Alaska Native
2015,2015,MA,Disability,Disability among adults aged >= 65 years,32.8,,32.1,33.5,Overall,Overall
2013,2013,CT,Disability,Disability among adults aged >= 65 years,33.0,,28.9,37.1,Race/Ethnicity,"Black, non-Hispanic"
2016,2016,OK,Disability,Disability among adults aged >= 65 years,43.5,,39.6,47.4,Race/Ethnicity,"Black, non-Hispanic"
2012,2012,MI,Disability,Disability among adults aged >= 65 years,44.5,,42.8,46.2,Race/Ethnicity,"Black, non-Hispanic"
2013,2013,MT,Disability,Disability among adults aged >= 65 years,35.6,,34.1,37.1,Overall,Overall
2010,2010,MN,Disability,Disability among adults aged >= 65 years,31.5,,30.6,32.4,Gender,Female
