YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3,OriginalDataValue
2012,2012,MA,Massachusetts,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-72.08269067499964 42.27687047000046),,25,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2012,2012,PA,Pennsylvania,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-77.86070029399963 40.79373015200048),,42,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2014,2014,NC,North Carolina,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-79.15925046299964 35.466220975000454),,37,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 5 - State had nearly exclusive state alcohol retail licensing
2012,2012,NV,Nevada,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-117.07184056399967 39.493240390000494),,32,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 1 - State had exclusive local alcohol retail licensing
2014,2014,FL,Florida,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-81.92896053899966 28.932040377000476),,12,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2020,2020,HI,Hawaii,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-157.85774940299973 21.304850435000446),,15,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 1 - State had exclusive local alcohol retail licensing
2014,2014,WV,West Virginia,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-80.71264013499967 38.66551020200046),,54,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 4 - State had mixed alcohol retail licensing policies
2014,2014,MI,Michigan,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-84.71439026999968 44.6613195430005),,26,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 4 - State had mixed alcohol retail licensing policies
2020,2020,TX,Texas,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-99.42677020599967 31.827240407000488),,48,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 4 - State had mixed alcohol retail licensing policies
2020,2020,NE,Nebraska,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-99.36572062299967 41.6410409880005),,31,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2020,2020,MD,Maryland,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-76.60926011099963 39.29058096400047),,24,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2014,2014,NJ,New Jersey,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-74.27369128799967 40.13057004800049),,34,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 1 - State had exclusive local alcohol retail licensing
2012,2012,WI,Wisconsin,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-89.81637074199966 44.39319117400049),,55,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 1 - State had exclusive local alcohol retail licensing
2012,2012,AZ,Arizona,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,4,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 6 - State had exclusive state alcohol retail licensing
2020,2020,KS,Kansas,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-98.20078122699965 38.34774030000045),,20,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2012,2012,UT,Utah,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-111.58713063499971 39.360700171000474),,49,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2014,2014,OH,Ohio,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-82.40426005599966 40.06021014100048),,39,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2014,2014,RI,Rhode Island,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-71.52247031399963 41.70828019300046),,44,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 1 - State had exclusive local alcohol retail licensing
2020,2020,MO,Missouri,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-92.56630005299968 38.635790776000476),,29,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 4 - State had mixed alcohol retail licensing policies
2012,2012,NJ,New Jersey,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-74.27369128799967 40.13057004800049),,34,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 1 - State had exclusive local alcohol retail licensing
2014,2014,CA,California,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,6,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2012,2012,SD,South Dakota,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-100.3735306369997 44.353130053000484),,46,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 1 - State had exclusive local alcohol retail licensing
2020,2020,IA,Iowa,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-93.81649055599968 42.46940091300047),,19,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2020,2020,TN,Tennessee,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-85.77449091399967 35.68094058000048),,47,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2014,2014,MN,Minnesota,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-94.79420050299967 46.35564873600049),,27,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 1 - State had exclusive local alcohol retail licensing
2020,2020,SC,South Carolina,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-81.04537120699968 33.998821303000454),,45,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2012,2012,NY,New York,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-75.54397042699964 42.82700103200045),,36,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 6 - State had exclusive state alcohol retail licensing
2020,2020,AK,Alaska,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,2,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2020,2020,GA,Georgia,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-83.62758034599966 32.83968109300048),,13,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2012,2012,IL,Illinois,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-88.99771017799969 40.48501028300046),,17,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2020,2020,WV,West Virginia,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-80.71264013499967 38.66551020200046),,54,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 4 - State had mixed alcohol retail licensing policies
2014,2014,MD,Maryland,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-76.60926011099963 39.29058096400047),,24,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2020,2020,CO,Colorado,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),,8,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2020,2020,ID,Idaho,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-114.3637300419997 43.682630005000476),,16,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2020,2020,LA,Louisiana,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-92.44568007099969 31.31266064400046),,22,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2014,2014,PA,Pennsylvania,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-77.86070029399963 40.79373015200048),,42,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2012,2012,FL,Florida,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-81.92896053899966 28.932040377000476),,12,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2020,2020,MI,Michigan,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-84.71439026999968 44.6613195430005),,26,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 4 - State had mixed alcohol retail licensing policies
2012,2012,CA,California,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,6,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2012,2012,KY,Kentucky,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-84.77497104799966 37.645970271000465),,21,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 6 - State had exclusive state alcohol retail licensing
2012,2012,VA,Virginia,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-78.45789046299967 37.54268067400045),,51,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2014,2014,IN,Indiana,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-86.14996019399968 39.766910452000445),,18,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2020,2020,NC,North Carolina,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-79.15925046299964 35.466220975000454),,37,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 5 - State had nearly exclusive state alcohol retail licensing
